Date,Close,Y,X-X_mean,Y-Y_mean,(X-X_mean)^2,(X-X_mean)*(Y-Y_mean),Est. Colsing Price,Error,,,SLOPE
19-Feb-21,14981.75,14675.7,79.635,-222.2236842,6341.73,-17696.78,14930.19,51.56,,,-2.79
22-Feb-21,14675.7,14707.8,-226.415,-190.1236842,51263.75,43046.85,14806.17,-130.47,,,0.84
23-Feb-21,14707.8,14982,-194.315,84.07631579,37758.32,-16337.29,14819.18,-111.38,,,-0.43
24-Feb-21,14982,15097.35,79.885,199.4263158,6381.61,15931.17,14930.29,51.71,,,2.50
25-Feb-21,15097.35,14529.15,195.235,-368.7736842,38116.71,-71997.53,14977.04,120.31,,,-1.89
26-Feb-21,14529.15,14761.55,-372.965,-136.3736842,139102.89,50862.61,14746.79,-217.64,,,0.37
1-Mar-21,14761.55,14919.1,-140.565,21.17631579,19758.52,-2976.65,14840.96,-79.41,,,-0.15
2-Mar-21,14919.1,15245.6,16.985,347.6763158,288.49,5905.28,14904.81,14.29,,,20.47
3-Mar-21,15245.6,15080.75,343.485,182.8263158,117981.95,62798.10,15037.11,208.49,,,0.53
4-Mar-21,15080.75,14938.1,178.635,40.17631579,31910.46,7176.90,14970.31,110.44,,,0.22
5-Mar-21,14938.1,14956.2,35.985,58.27631579,1294.92,2097.07,14912.51,25.59,,,1.62
8-Mar-21,14956.2,15098.4,54.085,200.4763158,2925.19,10842.76,14919.84,36.36,,,3.71
9-Mar-21,15098.4,15174.8,196.285,276.8763158,38527.80,54346.67,14977.46,120.94,,,1.41
10-Mar-21,15174.8,15030.95,272.685,133.0263158,74357.11,36274.28,15008.42,166.38,,,0.49
12-Mar-21,15030.95,14929.5,128.835,31.57631579,16598.46,4068.13,14950.13,80.82,,,0.25
15-Mar-21,14929.5,14910.45,27.385,12.52631579,749.94,343.03,14909.02,20.48,,,0.46
16-Mar-21,14910.45,14721.3,8.335,-176.6236842,69.47,-1472.16,14901.30,9.15,,,-21.19
17-Mar-21,14721.3,14557.85,-180.815,-340.0736842,32694.06,61490.42,14824.65,-103.35,,,1.88
18-Mar-21,14557.85,14744,-344.265,-153.9236842,118518.39,52990.54,14758.42,-200.57,,,0.45
19-Mar-21,14744,,-158.115,,,,14833.85,-89.85,,,
MEAN,14902.115,14897.92368,,,734639.77,297693.41,,,,,0.46
,,,,,,,14870.26,,,,
,,,,SLOPE,0.405223655,,14885.02,,,,
,,,,INTERCEPT,8859.234181,,14890.99,,,,0.05
,,,,,,,14893.42,,,,
,,,,Y=0.405X + 8859.23,,,14894.40,,,,
